Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,,,
MHL,Marshall Islands,Marshall Islands,Republic of the Marshall Islands,MH,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY.,East Asia & Pacific,Upper middle income,MH,2014/15,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Republic of the Marshall Islands Demographic and Health Survey, 2007",,,,,,,,"('MHL','Marshall Islands','Republic of the Marshall Islands','MH','East Asia & Pacific','Upper middle income','MH'),"
MIC,Middle income,Middle income,Middle income,XP,,"Middle income group aggregate. Middle-income economies are those in which 2021 GNI per capita was between $1,086 and $13,205.",,,XP,,,,,,,,,,,,,,,,,,,,,,,"('MIC','Middle income','Middle income','XP','','','XP'),"
MKD,North Macedonia,North Macedonia,Republic of North Macedonia,MK,Macedonian denar,,Europe & Central Asia,Upper middle income,MK,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2020 (expected),"Multiple Indicator Cluster Survey, 2018/19","Income survey (IS), 2017",Yes,2007,2010,2018,,,"('MKD','North Macedonia','Republic of North Macedonia','MK','Europe & Central Asia','Upper middle income','MK'),"
MLI,Mali,Mali,Republic of Mali,ML,West African CFA franc,,Sub-Saharan Africa,Low income,ML,1999,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2018","Integrated household survey (IHS), 2009/10",,,,2017,,,"('MLI','Mali','Republic of Mali','ML','Sub-Saharan Africa','Low income','ML'),"
MLT,Malta,Malta,Republic of Malta,MT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. National accounts data source from 1995 to 2015 is Eurostat; prior to 1995 is UN.",Middle East & North Africa,High income,MT,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Income survey (IS), 2015",Yes,2010,2009,2018,,,"('MLT','Malta','Republic of Malta','MT','Middle East & North Africa','High income','MT'),"
MMR,Myanmar,Myanmar,Republic of the Union of Myanmar,MM,Myanmar kyat,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 	  

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2014. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",East Asia & Pacific,Lower middle income,MM,2016,,Value added at producer prices (VAP),IDA,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2014,"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2015",,2010,,2018,,,"('MMR','Myanmar','Republic of the Union of Myanmar','MM','East Asia & Pacific','Lower middle income','MM'),"
MNA,Middle East & North Africa (excluding high income),Middle East & North Africa (excluding high income),Middle East & North Africa (excluding high income),XQ,,,,,XQ,,,,,,,,,,,,,,,,,,,,,,,"('MNA','Middle East & North Africa (excluding high income)','Middle East & North Africa (excluding high income)','XQ','','','XQ'),"
MNE,Montenegro,Montenegro,Montenegro,ME,Euro,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",Europe & Central Asia,Upper middle income,ME,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 2014",Yes,2010,,2018,,,"('MNE','Montenegro','Montenegro','ME','Europe & Central Asia','Upper middle income','ME'),"
MNG,Mongolia,Mongolia,Mongolia,MN,Mongolian tugrik,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1991-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",East Asia & Pacific,Lower middle income,MN,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020,"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2016",Yes,2011,2011,2018,,,"('MNG','Mongolia','Mongolia','MN','East Asia & Pacific','Lower middle income','MN'),"
MNP,Northern Mariana Islands,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,MP,U.S. dollar,,East Asia & Pacific,High income,MP,2012,,,,,Country uses the 1968 System of National Accounts methodology,,,,,,,,2020 (expected),,,Yes,2007,,,,,"('MNP','Northern Mariana Islands','Commonwealth of the Northern Mariana Islands','MP','East Asia & Pacific','High income','MP'),"
MOZ,Mozambique,Mozambique,Republic of Mozambique,MZ,New Mozambican metical,,Sub-Saharan Africa,Low income,MZ,2014,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2017,"Malaria Indicator Survey, 2018","Expenditure survey/budget survey (ES/BS), 2014",,2009-2010,1973,2018,,,"('MOZ','Mozambique','Republic of Mozambique','MZ','Sub-Saharan Africa','Low income','MZ'),"
MRT,Mauritania,Mauritania,Islamic Republic of Mauritania,MR,Mauritanian ouguiya,National account data were adjusted to reflect the new banknote (1 new ouguiya = 10 old ouguiya),Sub-Saharan Africa,Lower middle income,MR,2014,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2013,"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2014",,,,2017,,,"('MRT','Mauritania','Islamic Republic of Mauritania','MR','Sub-Saharan Africa','Lower middle income','MR'),"
MUS,Mauritius,Mauritius,Republic of Mauritius,MU,Mauritian rupee,,Sub-Saharan Africa,Upper middle income,MU,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"World Health Survey, 2003","Integrated household survey (IHS), 2012",Yes,2014,2012,2018,,,"('MUS','Mauritius','Republic of Mauritius','MU','Sub-Saharan Africa','Upper middle income','MU'),"
MWI,Malawi,Malawi,Republic of Malawi,MW,Malawi kwacha,,Sub-Saharan Africa,Low income,MW,2017,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2018,"Fifth Integrated Household Survey 2019-2020; Multiple Indicator Cluster Survey, 2019/20","Integrated household survey (IHS), 2016",,2006-2007,2012,2017,,,"('MWI','Malawi','Republic of Malawi','MW','Sub-Saharan Africa','Low income','MW'),"
MYS,Malaysia,Malaysia,Malaysia,MY,Malaysian ringgit,,East Asia & Pacific,Upper middle income,MY,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2020 (expected),"World Health Survey, 2003","Income survey (IS), 2015",Yes,"2015. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",2012,2018,,,"('MYS','Malaysia','Malaysia','MY','East Asia & Pacific','Upper middle income','MY'),"
NAC,North America,North America,North America,XU,,North America regional aggregate. There are no economies in North America classified as low or middle income.,,,XU,,,,,,,,,,,,,,,,,,,,,,,"('NAC','North America','North America','XU','','','XU'),"
NAM,Namibia,Namibia,Republic of Namibia,NA,Namibian dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Upper middle income,NA,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2015",,2013-2014,2013,2018,,,"('NAM','Namibia','Republic of Namibia','NA','Sub-Saharan Africa','Upper middle income','NA'),"
NCL,New Caledonia,New Caledonia,New Caledonia,NC,CFP franc,,East Asia & Pacific,High income,NC,2017,,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,,,2019,,,Yes,,,2015,,,"('NCL','New Caledonia','New Caledonia','NC','East Asia & Pacific','High income','NC'),"
NER,Niger,Niger,Republic of Niger,NE,West African CFA franc,,Sub-Saharan Africa,Low income,NE,2015,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2012,"Demographic and Health Survey, 2017","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2014",,2004-2008,2002,2016,,,"('NER','Niger','Republic of Niger','NE','Sub-Saharan Africa','Low income','NE'),"
NGA,Nigeria,Nigeria,Federal Republic of Nigeria,NG,Nigerian naira,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1970-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Lower middle income,NG,2010,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Living Standards Survey 2018-2019; General Household Survey, Panel 2018-2019","Integrated household survey (IHS), 2009/10",,"2007. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",1996,2018,,,"('NGA','Nigeria','Federal Republic of Nigeria','NG','Sub-Saharan Africa','Lower middle income','NG'),"
NIC,Nicaragua,Nicaragua,Republic of Nicaragua,NI,Nicaraguan gold cordoba,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Latin America & Caribbean,Lower middle income,NI,Original chained constant price data are rescaled.,2006,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Reproductive Health Survey, 2006/2007","Living Standards Measurement Study Survey (LSMS), 2016",,2011,1985,2018,,,"('NIC','Nicaragua','Republic of Nicaragua','NI','Latin America & Caribbean','Lower middle income','NI'),"
NLD,Netherlands,Netherlands,Kingdom of the Netherlands,NL,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,NL,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",Yes,2010,2014,2018,,,"('NLD','Netherlands','Kingdom of the Netherlands','NL','Europe & Central Asia','High income','NL'),"
NOR,Norway,Norway,Kingdom of Norway,NO,Norwegian krone,,Europe & Central Asia,High income,NO,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011. Population figures compiled from administrative registers.,,"Income survey (IS), 2014",Yes,2010,2014,2018,,,"('NOR','Norway','Kingdom of Norway','NO','Europe & Central Asia','High income','NO'),"
NPL,Nepal,Nepal,Nepal,NP,Nepalese rupee,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 14). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",South Asia,Lower middle income,NP,2010/11,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2019","Living Standards Measurement Study Survey (LSMS), 2010/11",,2011-2012,2011,2017,,,"('NPL','Nepal','Nepal','NP','South Asia','Lower middle income','NP'),"
NRU,Nauru,Nauru,Republic of Nauru,NR,Australian dollar,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",East Asia & Pacific,High income,NR,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,,,,2011,"Nauru Demographic and Health Survey, 2007",,Yes,,,,,,"('NRU','Nauru','Republic of Nauru','NR','East Asia & Pacific','High income','NR'),"
NZL,New Zealand,New Zealand,New Zealand,NZ,New Zealand dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,NZ,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,,,2018,,,Yes,2012,2012,2018,,,"('NZL','New Zealand','New Zealand','NZ','East Asia & Pacific','High income','NZ'),"
OED,OECD members,OECD members,OECD members,OE,,,,,OE,,,,,,,,,,,,,,,,,,,,,,,"('OED','OECD members','OECD members','OE','','','OE'),"
OMN,Oman,Oman,Sultanate of Oman,OM,Omani rial,,Middle East & North Africa,High income,OM,2018,,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2014",,,2012-2013,2014,2018,,,"('OMN','Oman','Sultanate of Oman','OM','Middle East & North Africa','High income','OM'),"
OSS,Other small states,Other small states,Other small states,S4,,,,,S4,,,,,,,,,,,,,,,,,,,,,,,"('OSS','Other small states','Other small states','S4','','','S4'),"
PAK,Pakistan,Pakistan,Islamic Republic of Pakistan,PK,Pakistani rupee,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",South Asia,Lower middle income,PK,2015/16,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2017,"Pakistan Maternal Mortality Survey
Other Data , 2019","Integrated household survey (IHS), 2014/15",,2010,2006,2018,,,"('PAK','Pakistan','Islamic Republic of Pakistan','PK','South Asia','Lower middle income','PK'),"
PAN,Panama,Panama,Republic of Panama,PA,Panamanian balboa,,Latin America & Caribbean,High income,PA,Original chained constant price data are rescaled.,2007,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2013","Integrated household survey (IHS), 2016",Yes,2011,2001,2016,,,"('PAN','Panama','Republic of Panama','PA','Latin America & Caribbean','High income','PA'),"
PER,Peru,Peru,Republic of Peru,PE,Peruvian new sol,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-2009. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Latin America & Caribbean,Upper middle income,PE,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2017,"Continuous Demographic and Health Survey, 2014","Integrated household survey (IHS), 2017",,2012,2011,2018,,,"('PER','Peru','Republic of Peru','PE','Latin America & Caribbean','Upper middle income','PE'),"
PHL,Philippines,Philippines,Republic of the Philippines,PH,Philippine peso,,East Asia & Pacific,Lower middle income,PH,2018,,Value added at producer prices (VAP),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015",Yes,2012,2012,2018,,,"('PHL','Philippines','Republic of the Philippines','PH','East Asia & Pacific','Lower middle income','PH'),"
PLW,Palau,Palau,Republic of Palau,PW,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY.,East Asia & Pacific,Upper middle income,PW,2019,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2015,,"Expenditure survey/budget survey (ES/BS), 2006",Yes,,,2018,,,"('PLW','Palau','Republic of Palau','PW','East Asia & Pacific','Upper middle income','PW'),"
PNG,Papua New Guinea,Papua New Guinea,The Independent State of Papua New Guinea,PG,Papua New Guinea kina,,East Asia & Pacific,Lower middle income,PG,2013,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2016/18","Integrated household survey (IHS), 2009/10",,,1987,2012,,,"('PNG','Papua New Guinea','The Independent State of Papua New Guinea','PG','East Asia & Pacific','Lower middle income','PG'),"
POL,Poland,Poland,Republic of Poland,PL,Polish zloty,,Europe & Central Asia,High income,PL,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Expenditure survey/budget survey (ES/BS), 2016",Yes,2010,2013,2018,,,"('POL','Poland','Republic of Poland','PL','Europe & Central Asia','High income','PL'),"
PRE,Pre-demographic dividend,Pre-demographic dividend,Pre-demographic dividend,V1,,"Pre-dividend countries are mostly low-income countries, lagging in key human development indicators and with current fertility levels above four births per woman. They face very rapid population growth.",,,V1,,,,,,,,,,,,,,,,,,,,,,,"('PRE','Pre-demographic dividend','Pre-demographic dividend','V1','','','V1'),"
PRI,Puerto Rico,Puerto Rico,Puerto Rico,PR,U.S. dollar,Fiscal year end: June 30; reporting period for national accounts data: FY.,Latin America & Caribbean,High income,PR,1953/54,,Value added at producer prices (VAP),,,Country uses the 1968 System of National Accounts methodology,,,,,General trade system,,,2020 (expected),"Reproductive Health Survey, 1995/96",,Yes,2012,2006,,,,"('PRI','Puerto Rico','Puerto Rico','PR','Latin America & Caribbean','High income','PR'),"
PRK,Dem. People's Rep. Korea,"Korea, Dem. People's Rep.",Democratic People's Republic of Korea,KP,Democratic People's Republic of Korean won,,East Asia & Pacific,Low income,KP,,,,,,,,,,,,,,2019,"Multiple Indicator Cluster Survey, 2017",,,,,,,,"('PRK','Dem. People's Rep. Korea','Democratic People's Republic of Korea','KP','East Asia & Pacific','Low income','KP'),"
PRT,Portugal,Portugal,Portuguese Republic,PT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,PT,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011,,,Yes,2009,2014,2018,,,"('PRT','Portugal','Portuguese Republic','PT','Europe & Central Asia','High income','PT'),"
PRY,Paraguay,Paraguay,Republic of Paraguay,PY,Paraguayan guarani,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1982-1988. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Latin America & Caribbean,Upper middle income,PY,2014,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2016","Integrated household survey (IHS), 2017",,2008,2010,2018,,,"('PRY','Paraguay','Republic of Paraguay','PY','Latin America & Caribbean','Upper middle income','PY'),"
PSE,West Bank and Gaza,West Bank and Gaza,West Bank and Gaza,PS,Israeli new shekel,National accounts data are provided in the US dollar.,Middle East & North Africa,Lower middle income,GZ,2015,,,,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,,Consolidated central government,Special Data Dissemination Standard (SDDS),2017,"Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2016/17",,2010,2013,2018,,,"('PSE','West Bank and Gaza','West Bank and Gaza','PS','Middle East & North Africa','Lower middle income','GZ'),"
PSS,Pacific island small states,Pacific island small states,Pacific island small states,S2,,Pacific island small states aggregate.,,,S2,,,,,,,,,,,,,,,,,,,,,,,"('PSS','Pacific island small states','Pacific island small states','S2','','','S2'),"
PST,Post-demographic dividend,Post-demographic dividend,Post-demographic dividend,V4,,Post-dividend countries are mostly high-income countries where fertility has transitioned below replacement levels.,,,V4,,,,,,,,,,,,,,,,,,,,,,,"('PST','Post-demographic dividend','Post-demographic dividend','V4','','','V4'),"
PYF,French Polynesia,French Polynesia,French Polynesia,PF,CFP franc,,East Asia & Pacific,High income,PF,2005,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,Special trade system,,,2017,,,Yes,,,2015,,,"('PYF','French Polynesia','French Polynesia','PF','East Asia & Pacific','High income','PF'),"
QAT,Qatar,Qatar,State of Qatar,QA,Qatari riyal,,Middle East & North Africa,High income,QA,2018,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2012",,Yes,,2013,2018,,,"('QAT','Qatar','State of Qatar','QA','Middle East & North Africa','High income','QA'),"
ROU,Romania,Romania,Romania,RO,New Romanian leu,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1987-1992. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Europe & Central Asia,High income,RO,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011,"Romania Reproductive Health Survey, 2004","Income survey (IS), 2016",Yes,2010,2013,2018,,,"('ROU','Romania','Romania','RO','Europe & Central Asia','High income','RO'),"
RUS,Russia,Russian Federation,Russian Federation,RU,Russian ruble,,Europe & Central Asia,Upper middle income,RU,Original chained constant price data are rescaled.,2016,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Russian Federation Reproductive Health Survey, 2011","Expenditure survey/budget survey (ES/BS), 2017",Yes,2016,2014,2018,,,"('RUS','Russia','Russian Federation','RU','Europe & Central Asia','Upper middle income','RU'),"
RWA,Rwanda,Rwanda,Republic of Rwanda,RW,Rwandan franc,,Sub-Saharan Africa,Low income,RW,2017,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2016/17",,"2008, 2013",1999,2016,,,"('RWA','Rwanda','Republic of Rwanda','RW','Sub-Saharan Africa','Low income','RW'),"
SAS,South Asia,South Asia,South Asia,8S,,,,,8S,,,,,,,,,,,,,,,,,,,,,,,"('SAS','South Asia','South Asia','8S','','','8S'),"
SAU,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,SA,Saudi Arabian riyal,,Middle East & North Africa,High income,SA,2010,,Value added at producer prices (VAP),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2020 (expected),Demographic Survey 2016,,,2015,2006,2018,,,"('SAU','Saudi Arabia','Kingdom of Saudi Arabia','SA','Middle East & North Africa','High income','SA'),"
